"study","ID","aged","aged365","female","dad","mom","potato","when64","kalimba","cond","root","bird","political","quarterback","olddays","feelold","computer","diner"
1,1,6765,"18.53424644","female",49,45,0,0,1,"control",1,7,3,2,13,2,4,7
1,2,7715,"21.13698578","1",63,62,0,1,0,"64",1,3,2,1,12,4,4,8
1,3,7630,"20.90410995","female",61,59,0,1,0,"64",1,7,1,2,12,2,4,6
1,4,7543,"20.66575432","female",54,51,0,0,1,"control",1,5,3,3,12,1,4,8
1,5,7849,"21.50411034","female",47,43,0,1,0,"64",1,5,2,3,13,3,5,6
1,6,7581,"20.76986313","1",49,50,0,1,0,"64",1,5,2,2,11,3,2,8
1,7,7534,"20.64109612","1",56,55,0,0,1,"control",1,7,2,2,13,3,4,8
1,8,6678,"18.29589081","1",45,45,0,1,0,"64",1,3,4,1,11,3,4,6
1,9,6970,"19.09589005","female",53,51,1,0,0,"potato",1,7,2,4,13,2,2,8
1,10,7681,"21.04383469","female",53,51,0,1,0,"64",1,5,2,1,13,2,5,1
1,11,7240,"19.83561707","1",61,57,0,0,1,"control",1,5,2,2,14,2,5,8
1,12,6835,"18.72602654","female",49,49,1,0,0,"potato",1,6,2,2,13,3,5,8
1,13,7847,"21.49863052","female",47,48,0,1,0,"64",1,7,4,3,12,2,4,8
1,14,7859,"21.53150749","female",54,49,1,0,0,"potato",1,6,2,2,12,2,3,7
1,15,13959,"38.24383545","1",60,64,0,1,0,"64",1,5,3,1,12,3,4,4
1,16,7639,"20.92876625","female",54,52,0,0,1,"control",1,5,1,1,11,2,4,6
1,17,7497,"20.53972626","female",55,55,1,0,0,"potato",1,6,2,4,13,2,4,6
1,18,7012,"19.21095848","1",46,46,0,1,0,"64",1,7,1,3,12,2,1,9
1,19,7579,"20.76438332","1",56,57,1,0,0,"potato",1,6,2,1,13,2,2,5
1,20,7287,"19.96438408","female",51,46,1,0,0,"potato",1,3,1,2,13,3,4,7
1,21,7670,"21.01369858","female",55,53,0,0,1,"control",1,6,2,1,13,2,4,8
1,22,7823,"21.43287659","1",50,49,0,0,1,"control",1,7,3,2,14,2,4,5
1,23,7874,"21.57260323","female",52,52,0,0,1,"control",1,6,1,1,15,2,4,8
1,24,7163,"19.62465668","female",46,46,0,0,1,"control",1,6,2,3,13,2,4,8
1,25,8016,"21.96164322","female",59,55,0,1,0,"64",1,6,2,2,12,3,4,7
1,26,7791,"21.34520531","1",58,55,0,0,1,"control",1,5,2,2,14,2,4,7
1,27,6746,"18.48219109","1",56,51,0,1,0,"64",1,5,2,4,12,2,5,6
1,28,7417,"20.3205471","1",56,53,1,0,0,"potato",1,5,2,1,12,2,4,7
1,29,6635,"18.17808151","1",49,47,1,0,0,"potato",1,5,2,4,13,2,4,4
1,30,7515,"20.58904076","1",46,44,0,1,0,"64",1,6,3,4,12,2,4,8
1,31,6722,"18.41643906","1",51,48,0,1,0,"64",1,5,2,1,13,2,4,7
1,32,8060,"22.08219147","1",59,61,1,0,0,"potato",1,7,2,2,13,3,2,8
1,33,6904,"18.91506767","1",51,49,0,0,1,"control",1,7,3,1,13,2,4,8
1,34,7719,"21.1479454","female",49,45,1,0,0,"potato",1,7,2,1,12,3,4,7
1,35,8033,"22.00821877","female",48,47,1,0,0,"potato",1,6,2,3,13,2,4,8
1,36,7695,"21.08219147","female",55,53,1,0,0,"potato",1,1,2,4,12,4,3,8
1,37,8026,"21.98904037","female",59,45,0,0,1,"control",1,3,3,1,14,2,5,8
1,38,7817,"21.41643906","1",56,50,0,1,0,"64",1,5,2,3,12,2,2,7
1,39,7665,"21","female",49,50,1,0,0,"potato",1,6,2,2,13,2,3,6
1,40,8002,"21.92328835","1",56,56,1,0,0,"potato",1,7,2,2,13,3,5,7
1,41,7373,"20.20000076","1",49,48,1,0,0,"potato",1,6,2,3,13,3,4,7
1,42,7770,"21.28767204","1",47,48,1,0,0,"potato",1,6,2,3,13,2,4,6
1,43,7576,"20.75616455","female",51,52,1,0,0,"potato",1,2,4,2,13,3,2,7
1,44,7513,"20.58356094","female",56,54,0,0,1,"control",1,6,2,1,14,3,4,8
2,45,7097,"19.44383621","female",53,47,0,1,0,"64",1,6,2,4,13,3,2,4
2,46,6713,"18.39178085","1",47,39,1,0,0,"potato",1,7,4,2,12,1,4,8
2,47,6942,"19.01917839","female",53,51,1,0,0,"potato",1,5,2,2,13,2,4,6
2,48,9938,"27.22739792","1",61,59,0,0,1,"control",1,7,1,3,14,1,2,9
2,49,7850,"21.50684929","1",53,48,1,0,0,"potato",1,7,2,2,13,4,4,7
2,50,7082,"19.40274048","female",42,43,0,0,1,"control",1,7,2,2,13,2,1,8
2,51,7408,"20.29589081","female",50,48,1,0,0,"potato",1,6,2,1,11,2,4,5
2,52,7070,"19.36986351","female",49,48,1,0,0,"potato",1,5,2,1,12,3,4,8
2,53,7700,"21.09589005","female",63,49,1,0,0,"potato",1,6,3,2,12,3,5,8
2,54,7627,"20.89589119","female",57,53,0,1,0,"64",1,2,3,1,12,2,2,7
2,55,7992,"21.89589119","1",54,53,1,0,0,"potato",1,5,4,2,13,2,4,5
2,56,7438,"20.37808228","1",51,51,0,1,0,"64",1,7,2,2,13,3,3,8
2,57,7307,"20.01917839","female",48,47,1,0,0,"potato",1,7,2,3,12,2,4,7
2,58,7318,"20.0493145","female",46,43,0,0,1,"control",1,7,2,2,12,1,4,7
2,59,7993,"21.89863014","1",54,48,0,0,1,"control",1,3,2,3,13,4,5,9
2,60,9991,"27.37260246","female",60,63,1,0,0,"potato",1,6,2,3,13,3,4,3
2,61,7237,"19.82739639","female",61,57,1,0,0,"potato",1,5,2,2,13,2,4,8
2,62,6975,"19.10958862","female",47,47,0,0,1,"control",1,3,2,1,13,2,1,8
2,63,7621,"20.87945175","female",50,54,0,1,0,"64",1,7,3,2,14,2,4,8
2,64,8161,"22.35890388","1",56,55,0,1,0,"64",1,6,2,2,12,2,2,8
2,65,8052,"22.06027412","1",52,52,0,0,1,"control",1,6,4,1,12,3,3,6
2,66,7400,"20.27397346","1",53,49,0,1,0,"64",1,2,3,1,11,2,4,7
2,67,7709,"21.12054825","1",62,60,1,0,0,"potato",1,5,2,4,13,2,5,7
2,68,7119,"19.50411034","female",50,50,0,0,1,"control",1,7,2,3,14,2,2,4
2,69,6685,"18.3150692","female",47,48,0,1,0,"64",1,7,4,3,12,3,3,8
2,70,7366,"20.18082237","female",48,49,0,1,0,"64",1,5,2,2,15,4,4,9
2,71,7513,"20.58356094","female",45,45,0,0,1,"control",1,7,4,2,12,2,2,8
2,72,7135,"19.54794502","female",56,55,1,0,0,"potato",1,6,2,1,14,2,4,4
2,73,7559,"20.709589","female",52,50,0,0,1,"control",1,7,2,4,12,2,3,6
2,74,7864,"21.54520607","1",47,65,0,1,0,"64",1,6,4,3,13,2,4,6
2,75,7214,"19.76438332","female",55,50,0,1,0,"64",1,5,4,4,12,3,4,7
