Participant	dim0	bright0	dim2	bright2	dim4	bright4	dim6	bright6
1	58	65	65	65	44	50	5	33
2	67	53	64	64	46	34	33	33
3	64	74	74	72	40	35	21	63
4	63	61	57	47	26	56	17	31
5	48	57	67	61	31	52	17	30
6	49	78	78	66	59	61	5	30
7	64	70	53	67	29	46	21	46
8	83	63	64	77	31	36	6	45
9	65	71	59	51	46	54	8	38
10	64	78	64	69	45	58	29	65
11	64	61	56	65	24	46	32	57
12	55	47	78	63	53	57	20	47
13	81	57	81	78	40	45	29	42
14	58	71	55	62	29	48	42	31
15	63	58	67	58	35	42	26	32
16	49	48	71	48	47	67	33	48
17	52	58	67	66	46	74	12	43
18	77	65	71	32	14	47	15	27
19	74	50	68	67	53	47	15	45
20	73	58	64	68	31	47	23	46
21	67	67	75	69	40	44	28	44
22	58	61	68	55	35	66	13	50
23	82	66	68	61	22	44	43	44
24	64	68	70	51	44	46	18	33
25	67	37	55	50	31	49	13	22
26	81	59	43	45	27	69	30	35
