burnout	loc	cope	teaching	research	pastoral
Not Burnt Out	7.64705882352941	9.16030534351145	32.7272727272727	87.5	31.4814814814815
Not Burnt Out	6.47058823529412	12.9770992366412	52.7272727272727	66.6666666666667	68.5185185185185
Not Burnt Out	8.82352941176471	9.16030534351145	49.0909090909091	60.4166666666667	53.7037037037037
Not Burnt Out	20	9.16030534351145	52.7272727272727	62.5	50
Not Burnt Out	6.47058823529412	19.0839694656489	43.6363636363636	79.1666666666667	40.7407407407407
Not Burnt Out	7.05882352941177	16.030534351145	38.1818181818182	52.0833333333333	48.1481481481481
Not Burnt Out	8.23529411764706	16.793893129771	16.3636363636364	58.3333333333333	37.037037037037
Not Burnt Out	13.5294117647059	7.63358778625954	43.6363636363636	70.8333333333333	35.1851851851852
Not Burnt Out	8.82352941176471	9.16030534351145	41.8181818181818	81.25	46.2962962962963
Not Burnt Out	7.05882352941177	13.7404580152672	56.3636363636364	77.0833333333333	62.962962962963
Not Burnt Out	12.3529411764706	12.2137404580153	58.1818181818182	81.25	48.1481481481481
Not Burnt Out	12.3529411764706	14.5038167938931	40	39.5833333333333	53.7037037037037
Not Burnt Out	7.05882352941177	35.1145038167939	63.6363636363636	64.5833333333333	61.1111111111111
Not Burnt Out	9.41176470588235	9.92366412213741	36.3636363636364	41.6666666666667	37.037037037037
Not Burnt Out	11.7647058823529	19.8473282442748	67.2727272727273	60.4166666666667	70.3703703703704
Not Burnt Out	14.1176470588235	9.92366412213741	49.0909090909091	79.1666666666667	33.3333333333333
Not Burnt Out	24.7058823529412	6.87022900763359	40	95.8333333333333	24.0740740740741
Not Burnt Out	11.1764705882353	9.16030534351145	45.4545454545455	79.1666666666667	48.1481481481481
Not Burnt Out	8.23529411764706	9.92366412213741	32.7272727272727	79.1666666666667	62.962962962963
Not Burnt Out	17.6470588235294	11.4503816793893	60	39.5833333333333	77.7777777777778
Not Burnt Out	6.47058823529412	12.2137404580153	50.9090909090909	70.8333333333333	48.1481481481481
Not Burnt Out	16.4705882352941	7.63358778625954	58.1818181818182	81.25	44.4444444444444
Not Burnt Out	19.4117647058824	11.4503816793893	58.1818181818182	77.0833333333333	48.1481481481481
Not Burnt Out	9.41176470588235	19.0839694656489	56.3636363636364	72.9166666666667	61.1111111111111
Not Burnt Out	10	24.4274809160305	43.6363636363636	39.5833333333333	40.7407407407407
Not Burnt Out	10.5882352941176	15.2671755725191	58.1818181818182	77.0833333333333	53.7037037037037
Not Burnt Out	10.5882352941176	10.6870229007634	41.8181818181818	56.25	42.5925925925926
Not Burnt Out	6.47058823529412	32.824427480916	50.9090909090909	75	51.8518518518519
Not Burnt Out	12.3529411764706	10.6870229007634	49.0909090909091	56.25	18.5185185185185
Not Burnt Out	6.47058823529412	12.9770992366412	25.4545454545455	62.5	57.4074074074074
Not Burnt Out	8.23529411764706	35.1145038167939	63.6363636363636	77.0833333333333	46.2962962962963
Not Burnt Out	7.05882352941177	15.2671755725191	40	56.25	40.7407407407407
Not Burnt Out	20	10.6870229007634	69.0909090909091	85.4166666666667	59.2592592592593
Not Burnt Out	11.1764705882353	16.793893129771	49.0909090909091	77.0833333333333	64.8148148148148
Not Burnt Out	7.05882352941177	12.9770992366412	49.0909090909091	50	72.2222222222222
Not Burnt Out	12.3529411764706	21.3740458015267	56.3636363636364	54.1666666666667	64.8148148148148
Not Burnt Out	25.8823529411765	6.87022900763359	52.7272727272727	68.75	44.4444444444444
Not Burnt Out	31.1764705882353	4.58015267175573	49.0909090909091	75	42.5925925925926
Not Burnt Out	9.41176470588235	9.92366412213741	41.8181818181818	39.5833333333333	37.037037037037
Not Burnt Out	8.23529411764706	9.92366412213741	47.2727272727273	31.25	85.1851851851852
Not Burnt Out	8.23529411764706	50.381679389313	81.8181818181818	50	88.8888888888889
Not Burnt Out	37.6470588235294	5.34351145038168	72.7272727272727	29.1666666666667	48.1481481481481
Not Burnt Out	14.1176470588235	8.3969465648855	47.2727272727273	45.8333333333333	46.2962962962963
Not Burnt Out	12.9411764705882	13.7404580152672	45.4545454545455	58.3333333333333	37.037037037037
Not Burnt Out	7.05882352941177	37.4045801526718	67.2727272727273	41.6666666666667	74.0740740740741
Not Burnt Out	6.47058823529412	11.4503816793893	47.2727272727273	75	44.4444444444444
