Training	Dance	Interaction	Observed	Expected	LnObserved	LnExpected
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	0	0	28	14.44	3.3322045101752	2.67000213346468
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
0	1	0	10	23.56	2.30258509299405	3.15955035878339
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
1	0	0	48	61.56	3.87120101090789	4.12001230897068
