Groups	Paired	Egg_Percent	Duration	Latency	Efficiency
1	1	50	46	12	22.22
1	1	71.42857143	33	15	22.22
1	1	80	55	16	14.29
1	1	50	46	17	12.5
1	1	0	40	15	16.67
1	1	40	30	10	18.18
1	1	50	30	15	12.5
1	1	70	33	12	12.5
1	1	0	38	10	18.18
1	1	44.44444444	45	12	16.67
1	1	50	58	16	18.18
1	1	60	44	12	16.67
1	1	75	42	12	18.18
1	1	40	46	16	12.5
1	1	40	44	14	14.29
1	1	100	45	15	12.5
1	1	40	66	16	11.11
2	1	40	30	7	28.57
2	1	40	30	5	25
2	1	50	28	2	25
2	1	0	30	6	22.22
2	1	20	42	6	28.57
2	1	40	33	4	20
2	1	30	40	4	25
2	1	44.44444444	32	7	20
2	1	44.44444444	32	5	25
2	1	40	29	2	18.18
2	1	40	30	3	4.35
2	1	20	26	4	25
2	1	0	36	6	20
2	1	30	37	7	25
2	1	40	40	5	25
3	2	50	20	30	12.5
3	2	0	15	15	16.67
3	2	40	12	15	18.18
3	2	50	20	33	18.18
3	2	30	15	40	12.5
3	2	0	9	42	18.18
3	2	40	8	23	16.67
3	2	40	20	41	18.18
3	2	37.5	10	50	33.33
3	2	50	8	12	11.11
3	2	0	9	13	12.5
3	2	0	25	12	14.29
3	2	0	20	19	12.5
3	2	30	10	15	11.11
3	2	0	5	8	28.57
3	2	30	25	5	20
3	2	20	6	6	18.18
3	2	30	20	25	12.5
3	2	0	12	12	18.18
3	2	62.5	10	51	18.18
3	2	40	6	12	0
3	2	50	4	23	33.33
3	2	33.33333333	25	35	11.11
3	2	0	12	12	12.5
3	2	0	8	14	14.29
3	2	40	15	15	11.11
3	2	50	25	41	25
