cloak	mischief1	mischief2
1	4	11
1	5	7
1	8	8
1	6	7
1	6	10
1	4	7
1	3	11
1	6	7
1	7	11
1	1	6
1	8	8
1	2	7
1	5	8
1	6	9
1	2	9
1	5	10
1	0	6
1	4	10
1	5	9
1	5	8
1	2	7
1	3	7
1	5	9
1	7	12
1	5	10
1	7	10
1	4	9
1	4	9
1	4	11
1	1	9
1	3	8
1	3	6
1	5	12
1	4	10
2	1	10
2	7	10
2	7	9
2	6	12
2	9	11
2	5	5
2	4	13
2	10	12
2	7	13
2	7	10
2	2	12
2	2	12
2	4	10
2	6	12
2	4	11
2	6	11
2	5	12
2	1	7
2	6	9
2	3	8
2	2	13
2	4	10
2	1	9
2	2	10
2	2	8
2	3	8
2	6	13
2	1	6
2	6	11
2	6	9
2	6	8
2	5	11
2	6	10
2	1	10
2	7	9
2	6	13
2	5	9
2	7	12
2	6	10
2	4	9
2	4	13
2	7	9
2	2	10
2	3	8
2	6	10
2	0	10
