age	fb	display
24	No	No
26	No	No
30	No	No
31	No	No
36	No	No
29	No	Yes
28	No	No
36	No	No
34	No	Yes
31	No	No
32	No	No
30	Yes	Yes
26	No	No
35	Yes	No
36	No	No
36	No	No
25	No	Yes
24	No	No
24	Yes	Yes
26	No	No
29	No	No
34	Yes	Yes
31	Yes	Yes
40	Yes	No
45	No	No
30	No	No
30	No	No
36	No	No
45	Yes	Yes
40	No	No
41	No	Yes
32	No	No
48	Yes	Yes
43	Yes	Yes
46	Yes	Yes
40	Yes	Yes
41	Yes	No
43	Yes	Yes
44	No	Yes
39	Yes	No
49	Yes	Yes
52	Yes	Yes
56	Yes	Yes
58	Yes	Yes
53	Yes	Yes
52	Yes	No
51	Yes	Yes
59	No	No
60	No	No
60	Yes	No
63	Yes	Yes
64	Yes	Yes
65	Yes	Yes
69	Yes	Yes
68	Yes	Yes
70	Yes	Yes
71	Yes	No
67	Yes	Yes
64	Yes	Yes
63	No	Yes
73	Yes	Yes
74	Yes	Yes
78	Yes	Yes
79	Yes	Yes
82	Yes	Yes
79	Yes	Yes
76	Yes	Yes
74	Yes	No
83	Yes	Yes
82	Yes	Yes
