women	statbook
28	18
10	16
21	25
27	18
24	12
18	28
19	10
11	24
38	17
13	35
33	7
4	14
10	11
7	15
34	22
15	13
36	17
31	17
45	22
11	15
30	14
17	12
33	41
14	22
16	18
26	23
12	3
22	16
35	18
36	33
5	19
24	20
15	5
11	24
13	15
14	11
43	29
9	8
-2	38
19	9
18	31
12	6
26	3
23	23
10	22
25	14
22	11
14	7
25	17
10	32
18	22
16	-2
15	15
15	13
25	15
25	14
18	9
25	21
13	31
9	19
22	9
15	14
21	8
36	9
11	11
33	31
10	13
11	22
29	29
4	24
13	26
20	25
30	18
6	3
21	30
5	16
18	10
27	25
40	17
5	29
22	13
18	11
8	5
17	18
3	35
37	42
29	17
25	10
18	-2
8	12
22	24
16	23
18	10
25	9
2	35
7	24
16	13
13	6
27	0
24	13
20	28
36	11
20	8
24	30
31	24
15	17
14	2
19	28
27	11
11	9
24	15
28	19
26	12
8	13
-10	19
4	12
33	8
21	16
20	27
26	18
10	23
45	24
0	19
15	16
19	21
13	18
20	24
16	14
18	16
22	23
12	13
30	-3
12	12
7	29
27	31
25	3
20	18
11	13
22	19
16	23
31	30
32	20
27	25
38	18
18	9
34	25
5	10
35	24
23	13
43	15
7	7
19	9
28	35
30	25
39	27
8	18
6	12
9	22
23	23
27	23
15	22
26	18
18	12
43	7
34	16
30	-3
25	9
18	16
14	22
26	22
27	1
14	16
24	9
36	21
18	16
23	33
25	3
18	27
27	30
23	20
14	14
19	21
15	33
15	14
13	17
8	11
19	16
16	10
33	18
21	24
23	25
21	21
27	24
8	19
17	14
11	20
28	22
36	25
28	5
22	21
18	26
-18	30
20	20
11	7
29	24
-1	12
32	37
14	27
13	19
24	23
11	24
18	19
9	13
31	25
19	14
36	29
6	3
9	8
19	10
21	18
20	3
22	10
20	4
25	25
22	19
5	34
25	11
17	4
25	26
35	21
20	5
24	11
23	6
28	33
22	31
14	7
26	19
11	14
26	22
17	11
31	19
10	33
19	28
-3	10
26	34
2	9
21	22
20	20
18	26
14	4
25	22
23	29
6	-3
26	25
29	18
22	9
13	27
19	17
45	23
20	16
26	23
24	24
27	22
23	12
15	24
2	16
10	10
28	23
11	4
16	26
21	27
25	17
11	19
-1	3
45	23
18	14
38	30
23	31
13	12
43	19
9	23
35	21
29	11
4	7
23	23
21	39
13	36
24	24
21	24
16	14
3	19
16	19
20	7
28	22
10	20
24	19
4	20
28	13
30	23
35	16
30	27
28	13
18	12
21	20
18	7
22	24
44	26
11	18
21	22
7	16
32	28
12	20
23	24
17	20
30	17
23	29
20	17
15	1
20	11
25	28
21	14
15	9
16	19
-6	19
24	15
20	11
27	27
27	24
10	16
14	42
15	16
23	1
16	21
3	18
22	15
22	37
32	27
9	16
18	9
28	22
40	21
14	16
14	15
10	18
21	32
3	28
24	40
10	8
20	13
22	26
28	21
18	31
26	19
15	16
27	-8
28	8
26	24
-8	33
24	29
18	16
16	42
16	15
39	15
13	18
32	18
22	25
36	25
16	34
20	26
11	14
25	12
20	9
14	13
25	17
14	9
39	21
18	17
36	23
7	10
11	5
32	15
36	21
32	27
19	9
34	16
6	6
31	13
28	8
43	32
15	21
15	22
23	14
15	29
40	21
38	32
42	20
25	7
18	18
16	24
28	33
14	24
18	21
13	9
6	33
21	26
22	11
17	20
20	5
23	28
19	24
15	26
19	16
-5	24
27	27
5	9
22	15
20	11
28	20
33	23
-12	29
36	34
15	5
17	10
13	24
20	16
29	12
13	11
1	1
9	16
7	21
29	24
33	18
21	40
8	23
20	25
19	13
11	9
10	26
16	2
17	15
9	24
14	5
21	21
24	12
26	15
27	20
15	21
11	27
12	1
32	20
12	16
33	21
-7	13
18	21
39	-2
15	19
17	24
13	30
33	24
27	9
23	25
20	28
17	4
21	31
6	22
27	24
16	36
30	4
24	25
34	27
16	19
23	1
14	38
10	14
31	14
28	27
27	35
32	20
45	38
13	22
15	34
20	17
4	18
8	20
22	41
36	7
20	21
22	11
17	10
20	17
12	19
24	23
27	10
19	13
21	26
19	24
18	-2
20	39
9	33
15	24
