code	bhvneg	bhvpos	bhvnone
1	2.03	1.25	11.41
2	8.37	3.06	3.54
3	15	14.6	15
4	2.25	1.72	1.1
5	2.9	1.19	15
6	4.22	1.5	2.63
7	18.59	16.94	1.13
8	2.65	1.94	1.6
9	1.92	1.6	1.75
10	2.24	1.67	2.34
11	5.65	4.34	5.35
12	5.32	5.01	4.95
13	3.48	3.12	4.2
14	1.5	1.2	1.4
15	13.2	8.4	9.2
16	2.97	2.91	1.59
17	2.57	1.84	1.92
18	7.5	2.59	3.9
19	27	2.54	6.9
20	15	17.58	15
21	1.51	.72	.52
22	1.35	1.06	1.1
23	1.16	1.06	1.09
24	15	23.15	15
25	2.66	2.12	2.6
26	8.63	2.39	2.92
27	4.23	3.67	3.21
28	13.63	10.34	12.51
29	4.87	1.34	1.59
30	4.32	3.52	3.5
31	4.12	3.87	2.45
32	2.5	2.45	2.51
33	12.5	7.5	13.75
34	1	2	3
35	5.89	4.38	4.41
36	3.98	1.54	2.76
37	2.41	1.82	1.72
38	15	4.82	15
39	2.21	2.56	1.94
40	2.38	1.59	1.72
41	15.02	13.32	15.32
42	5.62	4.28	4.74
43	3.41	2.36	2.45
44	5.68	1.09	2.28
45	3.81	2.9	2
46	1.35	2.47	1.55
47	3.84	3.75	1.47
48	3	1	1.52
49	2.5	1	1.3
50	15	2.3	9.07
51	4.72	1.2	1.24
52	14.25	1.24	1.97
53	11.3	3.3	5.26
54	5.63	4.03	1.78
55	1.94	1.59	1.63
56	2.78	1.65	2.12
57	2.9	5.19	1.44
58	1.16	2.29	1.06
59	2.88	2.41	2.15
60	4.21	3.35	3.69
61	3.41	2.16	2.29
62	1.96	1.52	1.49
63	4.52	3.65	3.75
64	4.2	4.68	3.98
65	3.35	2.84	2.37
66	15	3.59	3
67	15	1.81	1.47
68	4.35	3.85	3.48
69	15	3.5	3.46
70	5.41	2.41	1.53
71	8.32	2.4	1.32
72	3.2	2.84	1.88
73	6.52	3.08	3.47
74	15	15	15
75	15	10.06	15
76	7.62	2.28	3.03
77	8.51	1.61	1.47
78	4.42	1.88	1.12
79	15	1.65	1.74
80	3.24	1.9	1.56
81	4.34	2.01	1.97
82	15	4	4.32
83	15	2.56	1.54
84	3.45	1.91	1.54
85	3.21	2.15	1.41
86	4.28	1.23	1.16
87	3.24	.99	2.13
88	2.24	.97	.75
89	3.25	2.03	2
90	2.06	1	1.44
91	9.43	6.34	7.91
92	4.25	3.23	3.87
93	8.72	.92	1.52
94	6.22	2.54	3.45
95	2.6	1.04	1.69
96	3.97	1.57	1.53
97	3.34	1.16	2.43
98	2.5	.9	1.64
99	2.78	.81	1.5
100	3.24	1.69	1.53
101	4.53	1.06	3.19
102	4.74	1.31	3.25
103	3.41	1.23	1.75
104	4.23	.78	1.75
105	6.53	1.34	3.97
106	4.78	.64	2.28
107	7.12	4.45	2.18
108	8.42	1.56	1.67
109	8.31	2.4	2.67
110	3.48	2.01	2.69
111	7.82	2.14	1.6
112	10.84	1.24	3.86
113	5.48	1.64	2.72
114	6.89	2.89	2.71
115	9.46	1.27	2.66
116	6.03	2.28	1.72
117	8.42	3.84	2.4
118	5.42	1.78	1.5
119	6.4	1.22	1.42
120	8.42	1.5	1.82
121	5.89	1.23	1.28
122	6.72	.75	1.25
123	7.63	2.81	2.49
124	8.42	1.43	2.12
125	7.46	1	1.18
126	8.15	1.19	1.38
127	4.64	.94	1.22
