Phallus,Displace
No Coronal Ridge,21.4876033057849
No Coronal Ridge,35.8306188925083
No Coronal Ridge,61.7449664429531
No Coronal Ridge,22.0149253731344
No Coronal Ridge,35.4978354978358
Minimal Coronal Ridge,93.1174089068826
Minimal Coronal Ridge,80.7692307692309
Minimal Coronal Ridge,91.0569105691052
Minimal Coronal Ridge,97.4358974358974
Minimal Coronal Ridge,93.1654676258994
Coronal Ridge,99.2217898832681
Coronal Ridge,79.735682819383
Coronal Ridge,91.0052910052909
Coronal Ridge,99.2452830188681
Coronal Ridge,86.904761904762
