Person	Satisfaction_Base	Satisfaction_6_Months	Satisfaction_12_Months	Satisfaction_18_Months	Gender
1	6	6	5	2	0
2	7	7	8	4	1
3	4	6	2	2	1
4	6	9	4	1	0
5	6	7	6	6	0
6	5	10	4	2	1
7	6	6	4	2	0
8	2	5	4	 	0
9	10	9	5	6	0
10	10	10	10	9	0
11	8	8	10	9	0
12	6	10	9	9	0
13	7	8	9	6	1
14	6	7	9	5	0
15	9	10	8	6	1
16	10	10	8	6	1
17	1	2	1	 	1
18	5	6	7	3	0
19	6	10	10	6	1
20	5	6	 	 	0
21	3	7	5	6	0
22	3	4	4	2	1
23	7	6	4	2	0
24	3	4	2	 	0
28	9	10	8	 	1
29	8	10	9	7	1
30	8	7	7	3	0
31	7	7	6	3	0
32	10	8	 	 	0
33	7	6	5	3	1
34	5	7	7	4	0
38	5	7	4	4	0
39	7	9	7	6	0
40	4	5	5	1	0
41	3	4	3	1	1
44	4	6	7	3	1
45	8	5	4	3	1
46	10	4	4	5	0
47	10	10	8	6	0
48	4	5	4	1	1
49	2	4	1	 	0
50	10	10	9	7	1
51	2	4	4	1	0
52	9	10	8	5	1
53	9	10	8	5	1
54	4	4	3	3	1
55	6	10	6	2	0
56	9	9	5	4	1
57	6	6	7	9	1
58	5	4	5	1	0
59	8	8	9	4	1
60	5	6	7	1	1
61	7	10	10	4	0
62	8	9	8	8	1
63	8	9	7	4	1
64	4	5	4	3	0
65	10	8	9	4	0
66	6	9	8	7	1
67	7	9	7	6	0
68	3	3	3	 	0
69	8	9	10	8	0
70	3	3	4	3	1
71	8	10	7	5	1
72	10	7	5	3	1
73	10	10	9	6	0
74	5	6	4	1	0
75	10	10	6	 	0
76	10	9	7	7	0
77	5	7	4	2	0
78	3	5	3	 	0
79	10	9	8	 	1
80	5	10	6	5	0
81	5	6	9	4	0
82	9	6	7	4	0
83	5	5	4	1	1
84	8	6	2	2	1
85	10	9	6	 	1
86	7	7	6	3	1
87	8	7	9	4	0
88	10	9	7	7	0
89	7	6	6	3	0
90	5	4	4	2	1
91	10	8	9	5	1
92	7	6	7	4	0
93	10	7	9	7	0
94	10	10	8	7	1
95	7	9	5	5	1
96	3	3	4	8	0
97	10	10	5	 	1
98	6	7	4	1	0
99	6	5	4	 	1
100	8	9	7	2	1
101	6	8	9	3	0
102	7	8	5	 	1
103	9	8	7	6	1
104	7	8	4	3	1
105	10	10	8	4	0
106	10	4	2	 	0
107	8	8	4	5	1
108	3	4	4	3	1
109	7	6	6	3	0
110	9	7	8	6	0
111	7	8	7	8	0
112	5	3	4	 	1
113	7	4	5	3	0
114	3	2	1	 	1
115	5	5	3	 	1
116	7	9	5	2	1
117	7	6	6	4	1
118	3	4	4	1	1
119	8	4	2	1	1
120	3	6	1	7	1
121	6	6	6	7	1
122	5	10	2	 	1
123	5	6	2	1	0
