Star_Sign	Believe	True	Frequency
Capricorn	Unbeliever	Horoscope Didn't Come True	56
Capricorn	Unbeliever	Horoscope Came True	46
Capricorn	Believer	Horoscope Didn't Come True	50
Capricorn	Believer	Horoscope Came True	60
Aquarius	Unbeliever	Horoscope Didn't Come True	26
Aquarius	Unbeliever	Horoscope Came True	20
Aquarius	Believer	Horoscope Didn't Come True	22
Aquarius	Believer	Horoscope Came True	29
Pisces	Unbeliever	Horoscope Didn't Come True	55
Pisces	Unbeliever	Horoscope Came True	51
Pisces	Believer	Horoscope Didn't Come True	64
Pisces	Believer	Horoscope Came True	70
Aries	Unbeliever	Horoscope Didn't Come True	42
Aries	Unbeliever	Horoscope Came True	36
Aries	Believer	Horoscope Didn't Come True	70
Aries	Believer	Horoscope Came True	54
Taurus	Unbeliever	Horoscope Didn't Come True	56
Taurus	Unbeliever	Horoscope Came True	42
Taurus	Believer	Horoscope Didn't Come True	41
Taurus	Believer	Horoscope Came True	50
Gemini	Unbeliever	Horoscope Didn't Come True	65
Gemini	Unbeliever	Horoscope Came True	53
Gemini	Believer	Horoscope Didn't Come True	40
Gemini	Believer	Horoscope Came True	48
Cancer	Unbeliever	Horoscope Didn't Come True	84
Cancer	Unbeliever	Horoscope Came True	76
Cancer	Believer	Horoscope Didn't Come True	96
Cancer	Believer	Horoscope Came True	83
Leo	Unbeliever	Horoscope Didn't Come True	14
Leo	Unbeliever	Horoscope Came True	23
Leo	Believer	Horoscope Didn't Come True	12
Leo	Believer	Horoscope Came True	20
Virgo	Unbeliever	Horoscope Didn't Come True	69
Virgo	Unbeliever	Horoscope Came True	55
Virgo	Believer	Horoscope Didn't Come True	49
Virgo	Believer	Horoscope Came True	66
Libra	Unbeliever	Horoscope Didn't Come True	27
Libra	Unbeliever	Horoscope Came True	26
Libra	Believer	Horoscope Didn't Come True	22
Libra	Believer	Horoscope Came True	36
Scorpio	Unbeliever	Horoscope Didn't Come True	32
Scorpio	Unbeliever	Horoscope Came True	20
Scorpio	Believer	Horoscope Didn't Come True	24
Scorpio	Believer	Horoscope Came True	32
Sagittarius	Unbeliever	Horoscope Didn't Come True	56
Sagittarius	Unbeliever	Horoscope Came True	41
Sagittarius	Believer	Horoscope Didn't Come True	42
Sagittarius	Believer	Horoscope Came True	50
