exam	computer	lectures	numeracy	uni
18	54	75	7	0
30	47	8.5	1	0
40	58	69.5	6	0
30	37	67	6	0
40	53	44.5	2	0
15	48	76.5	8	0
36	49	70	3	0
40	49	18.5	7	0
63	45	43.5	4	0
31	62	100	6	0
22	67	48	3	0
47	62	10.5	3	0
38	38	57.5	1	0
34	37	61.5	8	0
54	54	54	4	0
35	48	71	5	0
33	48	14	9	0
38	42	55.5	3	0
29	57	72.5	2	0
36	55	38	4	0
59	41	40	1	0
31	42	85.5	4	0
34	48	52	4	0
28	44	8	3	0
50	42	62.5	6	0
59	42	70.5	3	0
33	40	98	4	0
57	52	34.5	2	0
25	56	62.5	3	0
53	54	91.5	2	0
65	52	97.5	7	0
47	55	31.5	2	0
28	61	80.5	7	0
43	56	66.5	4	0
47	52	57.5	2	0
60	49	67	4	0
45	43	48.5	4	0
22	51	61	4	0
39	49	76	3	0
43	56	30.5	2	0
66	41	45	2	0
36	67	21.5	4	0
26	35	72.5	5	0
58	49	66	8	0
53	62	90.5	6	0
37	66	48.5	4	0
48	48	62	3	0
32	46	49	1	0
42	46	60	5	0
34	58	21	5	0
56	30	84.5	7	1
76	48	51	8	1
72	54	58.5	5	1
77	44	42	6	1
77	54	65.5	9	1
66	58	56	7	1
62	59	71.5	2	1
86	54	48.5	5	1
97	35	84.5	5	1
72	56	47.5	2	1
69	53	54	3	1
87	56	70.5	6	1
88	65	73	5	1
72	50	79	12	1
75	39	82.5	8	1
74	40	74.5	3	1
68	50	85	2	1
81	57	69.5	10	1
77	39	42	7	1
71	41	43	8	1
60	48	46.5	6	1
74	46	36.5	8	1
80	54	72.5	4	1
68	55	62	4	1
64	27	81.5	5	1
94	57	100	13	1
65	73	27	14	1
72	54	59.5	2	1
75	54	75	3	1
92	50	34	2	1
89	56	78	4	1
83	57	80.5	5	1
80	54	84	2	1
95	55	37.5	4	1
99	54	57	3	1
80	52	66	8	1
81	67	59	10	1
75	44	68.5	5	1
78	57	88.5	3	1
65	54	55	8	1
80	51	86	5	1
86	55	68.5	10	1
73	51	64	7	1
81	45	12.5	1	1
69	59	52.5	7	1
60	43	37	5	1
69	57	46	2	1
71	50	97.5	2	1
82	50	70.5	4	1
58	47	78	3	1
