Participant	Relationship	Age	Distractor_Colour	Gender	Distracter_Neutral	Distracter_Emotional	Distracter_Sexual	Target_Neutral	Target_Emotional	Target_Sexual
1	0	39	1	1	0	0	0	0	1	0
2	0	22	0	1	0	0	0	0	1	2
3	0	22	1	1	0	0	0	4	2	1
4	0	22	1	1	0	0	1	2	1	1
5	0	23	0	1	0	0	0	1	2	2
6	0	29	0	1	0	0	0	1	2	3
7	0	27	0	1	0	0	2	2	0	3
8	0	21	1	1	0	0	0	1	0	4
9	0	21	1	1	0	0	0	1	2	1
10	0	25	0	1	1	0	1	2	0	1
11	0	21	0	1	0	0	0	3	2	3
12	0	23	1	1	0	0	0	1	1	4
13	0	28	1	1	0	0	0	1	4	1
14	1	20	1	1	0	0	1	0	1	0
15	1	29	0	1	0	0	2	1	1	0
16	1	22	1	1	0	0	0	1	3	0
17	1	30	1	1	1	3	2	3	4	1
18	1	25	1	1	0	1	1	2	5	0
19	1	26	0	1	0	1	2	1	0	1
20	1	21	0	1	0	2	0	1	0	1
21	1	26	0	1	0	0	1	2	4	2
22	1	34	0	1	1	0	0	1	3	3
23	1	21	1	1	0	0	0	0	0	1
24	1	21	1	1	1	1	1	1	3	1
25	1	21	1	1	0	0	0	3	4	3
26	1	21	1	1	0	0	0	1	0	0
27	1	21	0	1	0	0	0	2	2	1
28	1	28	0	1	0	2	1	2	2	0
29	1	24	0	1	0	0	1	1	1	0
30	1	28	1	1	0	0	0	2	2	1
31	1	19	1	1	0	0	0	1	2	1
32	1	22	1	1	0	0	0	2	1	2
33	1	23	1	1	0	0	0	1	4	2
34	1	26	0	1	0	0	1	3	4	4
35	1	20	0	1	0	3	3	1	1	1
36	1	28	0	1	0	1	0	1	1	1
37	1	29	0	1	0	0	0	0	0	0
38	1	29	1	1	0	0	0	3	2	0
39	1	28	0	1	2	0	2	4	0	0
40	0	21	0	2	0	0	1	1	2	1
41	0	22	1	2	0	0	0	0	2	0
42	0	22	1	2	0	0	1	1	2	1
43	0	20	0	2	0	0	0	1	1	3
44	0	26	0	2	0	0	0	2	5	1
45	0	20	0	2	0	0	0	2	1	1
46	0	26	0	2	0	2	3	1	0	1
47	0	23	0	2	0	2	3	0	4	1
48	0	21	0	2	0	0	1	4	1	0
49	0	22	1	2	0	0	0	0	2	3
50	0	24	1	2	0	0	1	1	2	1
51	0	22	1	2	0	0	0	2	3	2
52	0	21	0	2	0	0	0	3	2	3
53	0	27	1	2	0	0	0	3	1	3
54	1	20	0	2	1	0	1	2	4	2
55	1	29	0	2	0	3	1	2	0	0
56	1	22	1	2	0	2	0	2	0	1
57	1	22	1	2	0	3	2	4	2	3
58	1	19	1	2	0	3	1	1	0	0
59	1	33	0	2	0	0	0	2	0	1
60	1	21	0	2	0	1	0	2	2	2
61	1	28	0	2	0	0	1	1	0	0
62	1	23	1	2	0	1	1	4	0	1
63	1	21	1	2	0	1	0	2	1	2
64	1	23	1	2	0	2	1	1	1	1
65	1	20	1	2	0	1	2	4	4	2
66	1	22	1	2	0	0	0	3	1	1
67	1	25	1	2	0	2	3	2	2	3
68	1	23	0	2	0	3	3	1	0	0
69	1	23	0	2	0	2	2	1	0	2
70	1	24	1	2	0	0	0	0	2	2
71	1	25	1	2	0	1	1	0	1	1
72	1	22	1	2	0	0	1	1	1	2
73	1	28	0	2	0	1	0	4	2	5
74	1	23	0	2	0	1	0	1	2	2
75	1	25	0	2	0	0	0	1	2	1
76	1	22	0	2	0	1	0	3	3	2
77	1	27	0	2	0	3	1	2	1	1
78	1	21	1	2	0	0	0	1	1	3
79	1	21	1	2	0	1	1	2	3	2
80	1	27	0	2	0	0	0	2	2	2
