Soya	Sperm
No Soya Meals	.35
No Soya Meals	.58
No Soya Meals	.88
No Soya Meals	.92
No Soya Meals	1.22
No Soya Meals	1.51
No Soya Meals	1.52
No Soya Meals	1.57
No Soya Meals	2.43
No Soya Meals	2.79
No Soya Meals	3.4
No Soya Meals	4.52
No Soya Meals	4.72
No Soya Meals	6.9
No Soya Meals	7.58
No Soya Meals	7.78
No Soya Meals	9.62
No Soya Meals	10.05
No Soya Meals	10.32
No Soya Meals	21.08
1 Soya Meal Per Week	.33
1 Soya Meal Per Week	.36
1 Soya Meal Per Week	.63
1 Soya Meal Per Week	.64
1 Soya Meal Per Week	.77
1 Soya Meal Per Week	1.53
1 Soya Meal Per Week	1.62
1 Soya Meal Per Week	1.71
1 Soya Meal Per Week	1.94
1 Soya Meal Per Week	2.48
1 Soya Meal Per Week	2.71
1 Soya Meal Per Week	4.12
1 Soya Meal Per Week	5.65
1 Soya Meal Per Week	6.76
1 Soya Meal Per Week	7.08
1 Soya Meal Per Week	7.26
1 Soya Meal Per Week	7.92
1 Soya Meal Per Week	8.04
1 Soya Meal Per Week	12.1
1 Soya Meal Per Week	18.47
4 Soyal Meals Per Week	.4
4 Soyal Meals Per Week	.6
4 Soyal Meals Per Week	.96
4 Soyal Meals Per Week	1.2
4 Soyal Meals Per Week	1.31
4 Soyal Meals Per Week	1.35
4 Soyal Meals Per Week	1.68
4 Soyal Meals Per Week	1.83
4 Soyal Meals Per Week	2.1
4 Soyal Meals Per Week	2.93
4 Soyal Meals Per Week	2.96
4 Soyal Meals Per Week	3
4 Soyal Meals Per Week	3.09
4 Soyal Meals Per Week	3.36
4 Soyal Meals Per Week	4.34
4 Soyal Meals Per Week	5.81
4 Soyal Meals Per Week	5.94
4 Soyal Meals Per Week	10.16
4 Soyal Meals Per Week	10.98
4 Soyal Meals Per Week	18.21
7 Soya Meals Per Week	.31
7 Soya Meals Per Week	.32
7 Soya Meals Per Week	.56
7 Soya Meals Per Week	.57
7 Soya Meals Per Week	.71
7 Soya Meals Per Week	.81
7 Soya Meals Per Week	.87
7 Soya Meals Per Week	1.18
7 Soya Meals Per Week	1.25
7 Soya Meals Per Week	1.33
7 Soya Meals Per Week	1.34
7 Soya Meals Per Week	1.49
7 Soya Meals Per Week	1.5
7 Soya Meals Per Week	2.09
7 Soya Meals Per Week	2.7
7 Soya Meals Per Week	2.75
7 Soya Meals Per Week	2.83
7 Soya Meals Per Week	3.07
7 Soya Meals Per Week	3.28
7 Soya Meals Per Week	4.11
