athlete	stretch	wii	injury
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	1
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	0
Athlete	Stretching	Playing Wii	1
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	0
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	1
Athlete	Stretching	Playing Wii	4
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Playing Wii	2
Athlete	Stretching	Watching Wii	0
Athlete	Stretching	Watching Wii	0
Athlete	Stretching	Watching Wii	3
Athlete	Stretching	Watching Wii	3
Athlete	Stretching	Watching Wii	3
Athlete	Stretching	Watching Wii	2
Athlete	Stretching	Watching Wii	1
Athlete	Stretching	Watching Wii	0
Athlete	Stretching	Watching Wii	2
Athlete	Stretching	Watching Wii	2
Athlete	Stretching	Watching Wii	3
Athlete	Stretching	Watching Wii	2
Athlete	Stretching	Watching Wii	2
Athlete	Stretching	Watching Wii	3
Athlete	Stretching	Watching Wii	1
Athlete	No Stretching	Playing Wii	2
Athlete	No Stretching	Playing Wii	4
Athlete	No Stretching	Playing Wii	1
Athlete	No Stretching	Playing Wii	2
Athlete	No Stretching	Playing Wii	2
Athlete	No Stretching	Playing Wii	2
Athlete	No Stretching	Playing Wii	1
Athlete	No Stretching	Playing Wii	4
Athlete	No Stretching	Playing Wii	4
Athlete	No Stretching	Playing Wii	1
Athlete	No Stretching	Playing Wii	2
Athlete	No Stretching	Playing Wii	3
Athlete	No Stretching	Playing Wii	3
Athlete	No Stretching	Playing Wii	3
Athlete	No Stretching	Playing Wii	3
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	3
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	1
Athlete	No Stretching	Watching Wii	0
Athlete	No Stretching	Watching Wii	3
Athlete	No Stretching	Watching Wii	3
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	1
Athlete	No Stretching	Watching Wii	2
Athlete	No Stretching	Watching Wii	4
Athlete	No Stretching	Watching Wii	1
Athlete	No Stretching	Watching Wii	2
Non-Athlete	Stretching	Playing Wii	5
Non-Athlete	Stretching	Playing Wii	5
Non-Athlete	Stretching	Playing Wii	3
Non-Athlete	Stretching	Playing Wii	6
Non-Athlete	Stretching	Playing Wii	4
Non-Athlete	Stretching	Playing Wii	3
Non-Athlete	Stretching	Playing Wii	4
Non-Athlete	Stretching	Playing Wii	5
Non-Athlete	Stretching	Playing Wii	5
Non-Athlete	Stretching	Playing Wii	2
Non-Athlete	Stretching	Playing Wii	6
Non-Athlete	Stretching	Playing Wii	4
Non-Athlete	Stretching	Playing Wii	4
Non-Athlete	Stretching	Playing Wii	4
Non-Athlete	Stretching	Playing Wii	3
Non-Athlete	Stretching	Watching Wii	4
Non-Athlete	Stretching	Watching Wii	3
Non-Athlete	Stretching	Watching Wii	2
Non-Athlete	Stretching	Watching Wii	1
Non-Athlete	Stretching	Watching Wii	4
Non-Athlete	Stretching	Watching Wii	3
Non-Athlete	Stretching	Watching Wii	2
Non-Athlete	Stretching	Watching Wii	2
Non-Athlete	Stretching	Watching Wii	1
Non-Athlete	Stretching	Watching Wii	3
Non-Athlete	Stretching	Watching Wii	1
Non-Athlete	Stretching	Watching Wii	1
Non-Athlete	Stretching	Watching Wii	3
Non-Athlete	Stretching	Watching Wii	4
Non-Athlete	Stretching	Watching Wii	2
Non-Athlete	No Stretching	Playing Wii	7
Non-Athlete	No Stretching	Playing Wii	8
Non-Athlete	No Stretching	Playing Wii	6
Non-Athlete	No Stretching	Playing Wii	9
Non-Athlete	No Stretching	Playing Wii	4
Non-Athlete	No Stretching	Playing Wii	7
Non-Athlete	No Stretching	Playing Wii	5
Non-Athlete	No Stretching	Playing Wii	9
Non-Athlete	No Stretching	Playing Wii	6
Non-Athlete	No Stretching	Playing Wii	4
Non-Athlete	No Stretching	Playing Wii	8
Non-Athlete	No Stretching	Playing Wii	5
Non-Athlete	No Stretching	Playing Wii	4
Non-Athlete	No Stretching	Playing Wii	7
Non-Athlete	No Stretching	Playing Wii	10
Non-Athlete	No Stretching	Watching Wii	1
Non-Athlete	No Stretching	Watching Wii	3
Non-Athlete	No Stretching	Watching Wii	2
Non-Athlete	No Stretching	Watching Wii	1
Non-Athlete	No Stretching	Watching Wii	3
Non-Athlete	No Stretching	Watching Wii	3
Non-Athlete	No Stretching	Watching Wii	2
Non-Athlete	No Stretching	Watching Wii	3
Non-Athlete	No Stretching	Watching Wii	4
Non-Athlete	No Stretching	Watching Wii	2
Non-Athlete	No Stretching	Watching Wii	0
Non-Athlete	No Stretching	Watching Wii	1
Non-Athlete	No Stretching	Watching Wii	3
Non-Athlete	No Stretching	Watching Wii	2
Non-Athlete	No Stretching	Watching Wii	0
