infotype	beliefs
Advert	5
Advert	3
Advert	1
Advert	3
Advert	4
Advert	4
Advert	5
Advert	5
Advert	3
Advert	5
Advert	3
Advert	2
Advert	4
Advert	4
Advert	3
Story	4
Story	0
Story	1
Story	2
Story	4
Story	0
Story	1
Story	0
Story	2
Story	1
Story	1
Story	2
Story	2
Story	1
Story	4
Exposure	1
Exposure	3
Exposure	4
Exposure	0
Exposure	1
Exposure	2
Exposure	5
Exposure	0
Exposure	1
Exposure	0
Exposure	5
Exposure	1
Exposure	1
Exposure	2
Exposure	2
None	3
None	2
None	2
None	3
None	2
None	2
None	3
None	2
None	2
None	2
None	2
None	2
None	3
None	3
None	2
