music	age	liking
1	1	-84
1	1	-71
1	1	-74
1	1	-75
1	1	-98
1	1	-97
1	1	-75
1	1	-45
1	1	-73
1	1	-75
1	1	-75
1	1	-87
1	1	-49
1	1	-83
1	1	-77
2	1	24
2	1	30
2	1	80
2	1	75
2	1	72
2	1	60
2	1	42
2	1	90
2	1	55
2	1	60
2	1	87
2	1	56
2	1	54
2	1	74
2	1	40
3	1	69
3	1	92
3	1	76
3	1	76
3	1	81
3	1	51
3	1	27
3	1	91
3	1	97
3	1	83
3	1	56
3	1	66
3	1	122
3	1	62
3	1	65
1	2	96
1	2	69
1	2	61
1	2	39
1	2	94
1	2	71
1	2	62
1	2	62
1	2	38
1	2	69
1	2	40
1	2	45
1	2	86
1	2	93
1	2	68
2	2	65
2	2	86
2	2	37
2	2	59
2	2	49
2	2	59
2	2	42
2	2	88
2	2	92
2	2	41
2	2	64
2	2	73
2	2	66
2	2	73
2	2	68
3	2	-54
3	2	-56
3	2	-97
3	2	-40
3	2	-65
3	2	-88
3	2	-77
3	2	-52
3	2	-54
3	2	-118
3	2	-41
3	2	-84
3	2	-66
3	2	-77
3	2	-103
