lying	salary	family	work
Lying Prevented	25754	1	3
Lying Prevented	27059	7	9
Lying Prevented	33673	5	5
Lying Prevented	24428	4	2
Lying Prevented	37358	10	6
Lying Prevented	26411	10	6
Lying Prevented	48678	8	4
Lying Prevented	17938	4	2
Lying Prevented	23513	8	2
Lying Prevented	31808	6	3
Lying Prevented	31151	2	1
Lying Prevented	30603	6	5
Lying Prevented	16410	8	4
Lying Prevented	20804	10	6
Normal Parenting	22707	7	10
Normal Parenting	21207	5	4
Normal Parenting	29285	2	1
Normal Parenting	26348	4	7
Normal Parenting	35235	4	4
Normal Parenting	34859	6	7
Normal Parenting	35547	2	7
Normal Parenting	34093	9	9
Normal Parenting	36970	4	6
Normal Parenting	34474	3	6
Normal Parenting	26237	4	2
Normal Parenting	39589	0	7
Normal Parenting	30671	4	10
Normal Parenting	25642	1	7
Lying Encouraged	43751	3	10
Lying Encouraged	18565	3	4
Lying Encouraged	41180	3	9
Lying Encouraged	34595	3	10
Lying Encouraged	36733	1	4
Lying Encouraged	46398	5	6
Lying Encouraged	30307	1	10
Lying Encouraged	37807	6	10
Lying Encouraged	28694	0	7
Lying Encouraged	31573	6	2
Lying Encouraged	23666	1	5
Lying Encouraged	40109	3	6
Lying Encouraged	44866	5	8
Lying Encouraged	37518	5	2
