group	exper	stats	social	develop	person
0	4	12	12	12	11
0	10	15	14	14	13
0	6	5	7	8	12
0	6	6	9	8	6
0	4	5	9	13	13
0	7	8	10	9	10
0	3	2	7	9	6
0	8	9	14	15	15
0	6	7	10	10	9
0	3	6	14	14	15
0	5	8	8	9	7
1	6	10	8	10	12
1	6	6	8	8	8
1	5	11	13	10	11
1	2	4	7	7	7
1	8	7	5	9	7
1	6	6	5	7	7
1	5	8	7	8	6
1	5	10	6	8	10
1	8	10	12	12	10
1	4	9	10	8	7
1	5	10	11	9	10
1	4	9	10	9	8
1	7	10	7	7	8
1	4	7	8	9	5
1	7	14	14	13	11
1	6	8	6	8	8
2	5	11	6	9	10
2	10	4	8	5	9
2	7	13	8	8	12
2	6	8	10	8	9
2	5	12	10	14	10
2	9	11	11	12	10
2	10	9	9	12	9
2	6	9	7	9	7
2	6	14	8	8	4
2	9	12	9	9	5
2	5	14	8	6	7
2	9	13	12	11	11
2	4	6	8	3	6
