Subject;A_1size9;A_1size4;A_1size1;B_1size9;B_1size4;B_1size1
1;-0.091947;1.0329;0.69069;-1.5151;-1.7552;-1.0579
2;-0.73556;-0.81554;0.68203;-2.5615;-2.6789;-1.4379
3;0.77117;0.45346;0.95903;-0.95269;-0.31568;0.48246
4;-0.15696;0.19285;-0.68923;-0.53489;-0.75384;-1.2122
5;0.12543;-0.070465;0.36375;-0.24963;-0.34463;-0.79064
6;-0.88646;-0.6671;-0.25389;-0.81996;-0.82549;-0.6157
7;-2.1487;-0.46327;-0.62561;-2.707;-2.3426;-1.9181
8;0.17278;0.11173;0.91874;-0.34086;-1.2029;-1.0358
9;1.4953;1.7679;2.9305;0.65912;0.47517;1.6538
10;1.8611;2.5088;3.2258;0.61435;0.55097;1.0899
11;-0.14184;-0.22068;0.19306;-1.5232;-1.5545;-1.4705
12;1.2842;1.8595;3.5902;-1.2858;-1.2388;0.16649
13;-0.15491;0.45159;1.3806;-2.1147;-1.8344;-1.5466
14;2.3022;2.8464;3.5748;0.010587;0.073855;0.7736
15;0.77433;0.4078;0.21963;-0.1223;-0.21716;-0.6566
16;0.98866;0.80351;1.9841;0.21777;-0.71675;0.60962
