"id"|"intervention"|"sex"|"age"|"educ"|"income"
1|"early memories (control)"|"male"|35|"MSc/PhD degree"|3
2|"signature strengths"|"female"|59|"below year 12"|1
3|"early memories (control)"|"female"|51|"BSc degree"|3
4|"gratitude visit"|"female"|50|"MSc/PhD degree"|2
5|"3 good things"|"male"|58|"MSc/PhD degree"|2
6|"signature strengths"|"female"|31|"MSc/PhD degree"|1
7|"gratitude visit"|"female"|44|"MSc/PhD degree"|2
8|"3 good things"|"female"|57|"BSc degree"|2
9|"signature strengths"|"female"|36|"BSc degree"|3
10|"3 good things"|"female"|45|"BSc degree"|3
11|"3 good things"|"female"|56|"MSc/PhD degree"|1
12|"3 good things"|"female"|46|"BSc degree"|3
13|"early memories (control)"|"female"|34|"MSc/PhD degree"|3
14|"early memories (control)"|"female"|41|"below year 12"|2
15|"early memories (control)"|"male"|27|"year 12"|2
16|"early memories (control)"|"female"|31|"below year 12"|1
17|"gratitude visit"|"female"|44|"BSc degree"|2
18|"3 good things"|"female"|40|"MSc/PhD degree"|2
19|"signature strengths"|"female"|37|"vocational training"|1
20|"gratitude visit"|"female"|21|"BSc degree"|1
21|"gratitude visit"|"female"|42|"BSc degree"|2
22|"early memories (control)"|"female"|29|"BSc degree"|2
23|"signature strengths"|"female"|22|"BSc degree"|1
24|"gratitude visit"|"female"|51|"BSc degree"|3
25|"gratitude visit"|"female"|46|"BSc degree"|3
26|"early memories (control)"|"female"|35|"MSc/PhD degree"|3
27|"early memories (control)"|"female"|34|"BSc degree"|3
28|"signature strengths"|"female"|62|"BSc degree"|1
29|"3 good things"|"female"|45|"below year 12"|2
30|"gratitude visit"|"male"|50|"below year 12"|3
31|"signature strengths"|"female"|58|"BSc degree"|2
32|"signature strengths"|"female"|45|"MSc/PhD degree"|3
33|"early memories (control)"|"female"|40|"MSc/PhD degree"|3
34|"signature strengths"|"female"|43|"MSc/PhD degree"|3
35|"gratitude visit"|"female"|29|"BSc degree"|1
36|"signature strengths"|"female"|45|"BSc degree"|1
37|"3 good things"|"female"|47|"MSc/PhD degree"|2
